,Entity,Iteration,Probability,Relation,Value
157,concept:biotechcompany:ibm,1115,0.96875,concept:companyeconomicsector,concept:academicfield:marketing
158,concept:biotechcompany:ibm,1115,1.0,concept:companyeconomicsector,concept:economicsector:consulting
159,concept:company:sanyo_electric,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
160,concept:biotechcompany:unisys,1114,0.9563766205992488,concept:companyeconomicsector,concept:academicfield:information_technology
161,concept:biotechcompany:elan,1114,0.9375,concept:companyalsoknownas,concept:company:elan_home_systems___llc
162,concept:company:fortune_brands,1107,1.0,concept:companyalsoknownas,concept:radiostation:fo
163,concept:biotechcompany:n3m,1115,1.0,concept:companyceo,concept:ceo:george_w__buckley
164,concept:biotechcompany:american_international_group,1114,1.0,concept:companyalsoknownas,concept:company:aig
165,concept:biotechcompany:american_international_group,1107,0.9372876701988629,concept:companyeconomicsector,concept:economicsector:insurance
166,concept:company:fast,1095,0.9999438365588157,concept:companyeconomicsector,concept:economicsector:insurance
167,concept:company:merrill_lynch,1115,0.9999863606694049,concept:companyceo,concept:ceo:stan_o_neal
168,concept:company:at_t,1114,0.9375,concept:companyalsoknownas,concept:company:notes_unix
169,concept:company:at_t,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
170,concept:company:at_t,1115,0.99609375,concept:companyceo,concept:ceo:randall_l__stephenson
171,concept:biotechcompany:kss,1114,1.0,concept:companyalsoknownas,concept:retailstore:kohl_s_corp
172,concept:company:metlife,1115,0.9986743679403416,concept:companyeconomicsector,concept:economicsector:insurance
173,concept:biotechcompany:waters_corporation,1102,0.9375,concept:companyalsoknownas,concept:company:waters
174,concept:company:united_parcel_service,1115,1.0,concept:companyceo,concept:ceo:d__scott_davis
175,concept:company:philips_electronics,1115,0.9990234375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
176,concept:company:philips_electronics,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:toshiba
177,concept:company:philips_electronics,1115,0.9375,concept:companyalsoknownas,concept:company:jvc
178,concept:company:philips_electronics,1115,0.984375,concept:companyalsoknownas,concept:company:samsung
179,concept:company:philips_electronics,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
180,concept:company:philips_electronics,1115,0.9375,concept:companyalsoknownas,concept:company:lucent_technologies
181,concept:biotechcompany:bayer_corporation,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:bayer
182,concept:company:rockwell_international,1115,0.9999999906626013,concept:companyeconomicsector,concept:economicsector:aerospace
183,concept:company:ibm_global_services,1114,1.0,concept:companyeconomicsector,concept:economicsector:consulting
184,concept:biotechcompany:siemens,1115,0.984375,concept:companyceo,concept:ceo:peter_l_scher
185,concept:biotechcompany:pnc,1115,0.9375,concept:companyceo,concept:ceo:james_e__rohr
186,concept:biotechcompany:ebay_com,1114,1.0,concept:companyalsoknownas,concept:biotechcompany:ebay
187,concept:biotechcompany:amr,1115,1.0,concept:companyceo,concept:ceo:gerard_arpey
188,concept:company:assurant,1114,0.9306970781751958,concept:companyeconomicsector,concept:economicsector:insurance
189,concept:biotechcompany:boeing,1114,1.0,concept:companyalsoknownas,concept:company:ba
190,concept:biotechcompany:boeing,1115,1.0,concept:companyceo,concept:ceo:phil_condit
191,concept:biotechcompany:boeing,1114,0.9944101662921055,concept:companyeconomicsector,concept:economicsector:aerospace
192,concept:biotechcompany:rfid,1102,0.9375,concept:companyalsoknownas,concept:biotechcompany:radio_frequency_identification
193,concept:company:verizon_communications,1115,1.0,concept:companyceo,concept:ceo:lowell_mcadam
194,concept:company:verizon_communications,1115,1.0,concept:companyeconomicsector,concept:economicsector:telecommunications
195,concept:biotechcompany:walgreen_co,1115,1.0,concept:companyceo,concept:ceo:gregory_wasson
196,concept:company:anadarko_petroleum,1114,1.0,concept:companyalsoknownas,concept:company:apc
197,concept:company:anadarko_petroleum,1115,0.9999997313876876,concept:companyceo,concept:ceo:james_hackett
198,concept:company:raytheon,1115,0.984375,concept:companyceo,concept:ceo:william_h__swanson
199,concept:biotechcompany:tyco_healthcare,1114,1.0,concept:companyalsoknownas,concept:biotechcompany:covidien
200,concept:biotechcompany:tyco_healthcare,1115,0.9990234375,concept:companyceo,concept:ceo:dennis_kozlowski
201,concept:biotechcompany:ebay,1114,1.0,concept:companyalsoknownas,concept:biotechcompany:ebay_com
202,concept:biotechcompany:ebay,1115,1.0,concept:companyceo,concept:ceo:pierre_morad_omidyar
203,concept:biotechcompany:md,1107,0.99609375,concept:companyeconomicsector,concept:economicsector:insurance
204,concept:biotechcompany:cbi,1096,0.96875,concept:companyeconomicsector,concept:academicfield:business
205,concept:company:server,1115,0.9999997615814209,concept:companyalsoknownas,concept:biotechcompany:microsoft
206,concept:biotechcompany:dow,1115,1.0,concept:companyceo,concept:ceo:andrew_liveris
207,concept:biotechcompany:toshiba,1114,0.9375,concept:companyalsoknownas,concept:biotechcompany:nvidia
208,concept:biotechcompany:toshiba,1115,0.9999961853027344,concept:companyalsoknownas,concept:biotechcompany:sony_corp
209,concept:biotechcompany:toshiba,1115,0.9375,concept:companyalsoknownas,concept:company:panasonic
210,concept:biotechcompany:toshiba,1115,0.9375,concept:companyalsoknownas,concept:company:philips_electronics
211,concept:biotechcompany:toshiba,1115,0.96875,concept:companyceo,concept:ceo:atsutoshi_nishida
212,concept:biotechcompany:toshiba,1114,1.0,concept:companyeconomicsector,concept:economicsector:electronics
213,concept:company:bouygues,1096,0.9375,concept:companyeconomicsector,concept:academicfield:construction
214,concept:organization:mgm_mirage,1109,0.96875,concept:companyeconomicsector,concept:economicsector:gaming
215,concept:retailstore:tjx_companies,1115,1.0,concept:companyceo,concept:ceo:carol_meyrowitz
216,concept:biotechcompany:corning,1114,0.9375,concept:companyalsoknownas,concept:company:corning_incorporated
217,concept:biotechcompany:siebel_systems_inc,1108,1.0,concept:companyalsoknownas,concept:company:xom_
218,concept:company:the_walt_disney_company,1115,1.0,concept:companyeconomicsector,concept:economicsector:media
219,concept:company:the_walt_disney_company,1115,1.0,concept:companyeconomicsector,concept:economicsector:entertainment
220,concept:biotechcompany:msft,1115,1.0,concept:companyalsoknownas,concept:biotechcompany:microsoft
221,concept:biotechcompany:rimage_corporation,1108,0.9375,concept:companyalsoknownas,concept:company:rimage
222,concept:company:general,1096,0.99951171875,concept:companyeconomicsector,concept:economicsector:insurance
223,concept:transportation:ma,1112,1.0,concept:companyalsoknownas,concept:company:mastercard_inc_a
224,concept:transportation:ma,1107,0.99951171875,concept:companyeconomicsector,concept:economicsector:insurance
225,concept:company:deere___co,1114,1.0,concept:companyalsoknownas,concept:trail:de
226,concept:biotechcompany:sony_corp,1115,0.9999961853027344,concept:companyalsoknownas,concept:biotechcompany:toshiba
227,concept:biotechcompany:sony_corp,1115,0.9990234375,concept:companyalsoknownas,concept:company:panasonic
228,concept:biotechcompany:sony_corp,1115,0.9990234375,concept:companyalsoknownas,concept:company:htc
229,concept:biotechcompany:sony_corp,1115,0.9990234375,concept:companyalsoknownas,concept:biotechcompany:ibm
230,concept:biotechcompany:sony_corp,1115,0.99609375,concept:companyalsoknownas,concept:biotechcompany:sharp_corporation
231,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:motorolla
232,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:biotechcompany:intel
233,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:blu_ray_disc
234,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:blackberry
235,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:audiovox
236,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:casio
237,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:zte
238,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:sony_financial_holdings
239,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:nokia_devices
240,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:benq
241,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:recordlabel:sony_bmg_
242,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:recordlabel:sony_music_entertainment
243,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:coca_cola
244,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:barnes___noble
245,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:sandisk_corporation
246,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:rim
247,concept:biotechcompany:sony_corp,1115,0.9999847412109375,concept:companyalsoknownas,concept:company:nokia_siemens
248,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:recordlabel:epic
249,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:recordlabel:sony_entertainment
250,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:sony_electronics
251,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:design
252,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:alcatel_lucent
253,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:napster
254,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:recordlabel:sony_bmg
255,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:royal_philips
256,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:sanyo_electric
257,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:time_warner
258,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:nintendo_
259,concept:biotechcompany:sony_corp,1115,0.99609375,concept:companyalsoknownas,concept:company:asus_
260,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:website:amazon_com
261,concept:biotechcompany:sony_corp,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
262,concept:biotechcompany:sony_corp,1115,0.9990234375,concept:companyalsoknownas,concept:company:philips_electronics
263,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:recordlabel:bbc
264,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:biotechcompany:google
265,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:hitachi_ltd_
266,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:orange
267,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:company:hp
268,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:newspaper:uk_guardian
269,concept:biotechcompany:sony_corp,1115,0.9375,concept:companyalsoknownas,concept:transportation:eurostar
270,concept:biotechcompany:sony_corp,1115,0.9999847412109375,concept:companyalsoknownas,concept:company:motorola
271,concept:biotechcompany:sony_corp,1115,0.984375,concept:companyalsoknownas,concept:company:vodafone
272,concept:biotechcompany:sony_corp,1115,1.0,concept:companyceo,concept:ceo:stringer
273,concept:biotechcompany:sony_corp,1115,0.9961524944625233,concept:companyeconomicsector,concept:economicsector:entertainment
274,concept:company:equallogic,960,0.9999996206289741,concept:companyeconomicsector,concept:economicsector:computer
275,concept:company:hsbc,1115,0.9921875,concept:companyceo,concept:ceo:michael_geoghegan
276,concept:retailstore:whole_foods_market,1110,1.0,concept:companyalsoknownas,concept:televisionstation:wfmi
277,concept:retailstore:whole_foods_market,1115,0.9999999999908724,concept:companyceo,concept:ceo:john_mackey
278,concept:company:tata_consultancy,1115,1.0,concept:companyceo,concept:ceo:n_chandrasekaran
279,concept:company:realnetworks,1115,0.998046875,concept:companyceo,concept:ceo:rob_glaser
280,concept:company:scientific_atlanta,960,0.9999999971104312,concept:companyeconomicsector,concept:economicsector:internet
281,concept:company:accenture001,1115,0.9375,concept:companyceo,concept:ceo:william_green
282,concept:biotechcompany:cerner,1115,0.9375,concept:companyceo,concept:ceo:neal_patterson
283,concept:biotechcompany:duke_energy_corporation,1115,0.99951171875,concept:companyceo,concept:ceo:jim_rogers
284,concept:biotechcompany:searle,1115,0.96875,concept:companyceo,concept:ceo:donald_rumsfeld
285,concept:biotechcompany:supervalu_inc,1115,1.0,concept:companyceo,concept:ceo:jeff_noddle
286,concept:company:owens_corning,1115,1.0,concept:companyceo,concept:ceo:david_brown
287,concept:company:acco_brands,1114,0.9375,concept:companyalsoknownas,concept:attraction:kensington
288,concept:company:ge,1114,1.0,concept:companyalsoknownas,concept:biotechcompany:general_electric
289,concept:company:ge,1114,1.0,concept:companyalsoknownas,concept:company:general_electric_co_
