ballack	germany
miikka_kiprusoff	flames
j__d__drew	red_sox
matt_schaub	texans
marion_barber_iii	dallas_cowboys
chris_young	padres
santonio_holmes	kansas_city_chiefs
mark_grudzielanek	lady_royals
cory_sullivan	mighty_ducks_of_anaheim
zdeno_chara	boston_bruins
raul_ibanez	seattle_mariners
keyon_dooling	nets
daunte_culpepper	minnesota_vikings
yorvit_torrealba	rockies
matt_wieters	baltimore_orioles
david_dejesus	lady_royals
ryan_freel	reds
donovan_mcnabb	padres
tony_dorsett	dallas_cowboys
mikhail_grabovski	leafs
russell_westbrook	oakland_raiders
evgeni_malkin	penguins
dontrelle_willis	baltimore_ravens
scott_walker	kansas_city_chiefs
paul_konerko	red_sox
jason_richardson	phoenix_suns
scott_olsen	marlins
jonny_gomes	tampa_bay_devil_rays
sebastian_telfair	celtics
lendale_white	tennessee_titans
marc_bulger	boston_bruins
grady_sizemore	indians
brooks_robinson	baltimore_orioles
ozzie_guillen	red_sox
joe_smith	bulls
eli_manning	ny_giants
brian_westbrook	eagles__
rb_correll_buckhalter	eagles__
edinson_volquez	reds
alfonso_soriano	cubs
matt_ryan	falcons
jj_putz	new_york_mets
orel_hershiser	dodgers
josef_vasicek	new_york_islanders
kevin_mchale	celtics
kyle_wellwood	twins
kendry_morales	kings_point_mariners
jason_blake	leafs
chris_johnson	tennessee_titans
ryan_braun	milwaukee_brewers
brett	new_york_jets
chris_volstad	marlins
babe_ruth_and_lou_gehrig	yankees
brent_sopel	chicago_blackhawks
mike_mussina	yankees
john_kelly	atlanta_braves
chris_bosh	toronto_raptors
jason_kubel	twins
ryne_sandberg	cubs
hideki_matsui	yankees
daequan_cook	miami_heat
jarome_iginla	calgary_flames
jason_pominville	buffalo_sabres
brian_moehler	houston_astros
sami_salo	vancouver_canucks
yhency_brazoban	dodgers
glen_coffee	twins
carmelo_anthony	new_york_mets
jim_edmonds	cubs
matt_morris	los_angeles_kings
gavin_floyd	bobcats
chuck_james	boston_bruins
robin_yount	milwaukee_brewers
brian_cook	los_angeles_lakers
nady	yankees
mussina	yankees
kirk_hinrich	bulls
ronny_turiaf	cubs
j_p__losman	buffalo_bills
matt_bonner	spurs
jason_johnson	yankees
steve_nash	dodgers
kei_igawa	yankees
jed_lowrie	red_sox
tom_seaver	new_york_mets
aaron_miles	capitals
jay_pandolfo	pittsburgh_steelers
brian_gionta	sun_devils
philip_rivers	chicago_blackhawks
jerious_norwood	falcons
ben_bishop	pittsburgh_steelers
champ_bailey	broncos
scott_hartnell	philadelphia_flyers
wade_boggs	red_sox
bret_boone	seattle_mariners
nicklas_lidstrom	red_wings
nate_mclouth	pirates
roger_clemens	yankees
john_smoltz	atlanta_braves
scott_kazmir	tampa
sean_gallagher	bengals
scott_baker	twins
ted_williams	red_sox
dioner_navarro	red_sox
jamaal_tinsley	indiana_pacers
trot_nixon	red_sox
chan_ho_park	dodgers
randall_simon	philadelphia_flyers
jerry_west	baltimore_orioles
matt_cassel	new_england_patriots
dan_marino	marlins
chase_daniel	chicago_blackhawks
clayton_kershaw	dodgers
marshawn_lynch	buffalo_bills
fabricio_oberto	san_antonio
dany_sabourin	ottawa_senators
joe_johnson	hawks
randor_bierd	baltimore_orioles
ryan_dempster	cubs
miguel_tejada	houston_astros
shaun_marcum	blue_jays
lou_gehrig	yankees
hiroki_kuroda	dodgers
kevin_youkilis	red_sox
milan_lucic	boston_bruins
derek_anderson	cleveland_browns
david_justice	atlanta_braves
mark_teixeira	atlanta_braves
lastings_milledge	new_york_mets
darin_erstad	anaheim_angels
john_maine	new_york_mets
rex_grossman	chicago_bears
jered_weaver	anaheim_angels
deuce_mcallister	new_orleans_saints
chone_figgins	anaheim_angels
matt_kemp	dodgers
jason_kapono	toronto_raptors
graham_harrell	pirates
esteban_loaiza	dodgers
ryan_callahan	rangers
anze_kopitar	kings_point_mariners
james_posey	celtics
dustin_mcgowan	blue_jays
ben_gordon	cleveland_browns
laurence_maroney	new_england_patriots
jeff_francis	rockies
mike_dunleavy	indiana_pacers
aj_burnett	blue_jays
michael_young	rangers
olmedo_saenz	dodgers
prince_fielder	milwaukee_brewers
jason_kidd	nets
tony_gonzalez	kansas_city_chiefs
sandy_koufax	dodgers
michael_vick	falcons
phil_simms	ny_giants
robert_nilsson	oilers
yuniesky_betancourt	seattle_mariners
ryan_malone	tampa
geoff_jenkins	phillies
joe_sakic	colorado_avalanche
brian_giles	padres
ladainian_tomlinson	chargers
tony_gwynn	padres
byron_leftwich	jacksonville_jaguars
ahmad_bradshaw	ny_giants
al_harrington	knicks
ronny_paulino	pirates
nolan_ryan	new_york_mets
mark_derosa	cubs
jarrod_washburn	seattle_mariners
c_c__sabathia	milwaukee_brewers
curtis_granderson	philadelphia_flyers
ryan_kesler	vancouver_canucks
paul_lo_duca	new_york_mets
geovany_soto	cubs
wally_szczerbiak	celtics
steve_smith	prairie_view_a___m_panthers
brian_fuentes	anaheim_angels
kirby_puckett	twins
jason_bay	pirates
alexei_kovalev	canadiens
mark_buehrle	colorado_rockies
jeremy_roenick	ny_giants
cliff_lee	san_jose_sharks
edgar_martinez	seattle_mariners
brenden_morrow	dallas_stars
tim_gleason	new_york_mets
jim_thome	red_sox
jon_kitna	nashville_predators
brendan_shanahan	sun_devils
ryan_klesko	padres
david_krejci	boston_bruins
branden_ore	virginia_tech
matt_hasselbeck	seahawks
kevin_faulk	new_england_patriots
ryan_church	new_york_mets
shawn_horcoff	miami_heat
andrew_bogut	chicago_blackhawks
bartolo_colon	red_sox
joseph_johnson	marlins
milton_bradley	cubs
jair_jurrjens	atlanta_braves
pavel_kubina	red_wings
lidstrom	red_wings
bernie_williams	yankees
michael_bourn	houston_astros
matt_garza	tampa_bay_devil_rays
jeremy_hermida	marlins
steve_trachsel	baltimore_orioles
ryan_theriot	cubs
felix_pie	cubs
thurman_thomas	buffalo_bills
jason_marquis	cubs
jimmy_rollins	phillies
randy_jones	blue_jays
eric_byrnes	diamondbacks
tad_iguchi	padres
jeff_francoeur	atlanta_braves
tiki_barber	ny_giants
chris_kunitz	mighty_ducks_of_anaheim
ales_kotalik	oilers
jaroslav_halak	canadiens
curt_schilling_as	red_sox
ernie_davis	dodgers
tom_glavine	new_york_mets
jason_varitek	red_sox
alexandre_burrows	vancouver_canucks
mike_richter	rangers
kimmo_timonen	philadelphia_flyers
ichiro_suzuki	seattle_mariners
denard_span	twins
oscar_villarreal	atlanta_braves
garrett_olson	pittsburgh_steelers
rashard_mendenhall	pittsburgh_steelers
dominik_hasek	red_wings
chase_utley_and_ryan_howard	phillies
roberto_clemente	vancouver_canucks
maury_wills	dodgers
miguel_olivo	lady_royals
joe_blanton	phillies
b_j__upton	baltimore_orioles
jerome_bettis	pittsburgh_steelers
vinny_testaverde	prairie_view_a___m_panthers
chris_simon	new_york_islanders
mike_pelfrey	new_york_mets
tom_gorzelanny	pirates
chris_chambers	chargers
mike_cameron	milwaukee_brewers
jason_terry	dallas_mavericks
brian_rafalski	red_wings
wade_dubielewicz	miami_heat
edgerrin_james	colts
cal_ripken	baltimore_orioles
david_carr	twins
nikolai_khabibulin	leafs
gabe_kapler	tampa_bay_devil_rays
mike_comrie	new_york_islanders
matt_forte	chicago_bears
kevin_kouzmanoff	padres
a_j__pierzynski	red_sox
kris_versteeg	chicago_blackhawks
jason_spezza	ottawa_senators
chris_chelios	red_wings
coco_crisp_	red_sox
brian_piccolo	chicago_bears
mike_knuble	philadelphia_flyers
james_harden	sun_devils
steve_garvey	dodgers
edgar_renteria	colorado_rockies
carlos_quentin	rangers
vladimir_guerrero	los_angeles_lakers
deangelo_williams	carolina
dan_fouts	chargers
gus_frerotte	minnesota_vikings
mike_komisarek	canadiens
jose_calderon	toronto_raptors
marc_edouard_vlasic	boston_bruins
juan_rivera	new_york_mets
chris_quinn	miami_heat
aramis_ramirez	marlins
carson_palmer	bengals
ryan_getzlaf	anaheim_ducks
jeff_samardzija	cubs
nick_markakis	baltimore_orioles
michael_owen	chicago_blackhawks
jason_kendall	milwaukee_brewers
chris_redman	falcons
torii_hunter	houston_astros
chase_budinger	twins
plaxico_burress	ny_giants
john_havlicek	celtics
adrian_gonzalez	padres
nomar_garciaparra	dodgers
antonio_pierce	rangers
nick_punto	twins
ethier	dodgers
kurt_warner	rams
andruw_jones	atlanta_braves
dion_phaneuf	calgary_flames
peavy	padres
harmon_killebrew	twins
david_ortiz	bucks_county_community_college
mark_kotsay	atlanta_braves
alberto_gilardino	italy
mike_modano	dallas_stars
joe_torre	dodgers
darren_mcfadden	oakland_raiders
teemu_selanne	mighty_ducks_of_anaheim
joey_harrington	falcons
daisuke_matsuzaka	boston_redsox
leon_powe	new_york_jets
jason_michaels	phillies
patrice_bergeron	boston_bruins
greg_oden	cubs
mike_sweeney	lady_royals
niklas_kronwall	red_wings
carey_price	canadiens
sidney_govou	boston_redsox
marques_colston	new_orleans_saints
anthony_parker	nuggets
jacoby_ellsbury	red_sox
paul_martin	chicago_blackhawks
scott_thorman	atlanta_braves
kelly_shoppach	new_orleans_saints
joe_flacco	baltimore_ravens
felix_jones	dallas_cowboys
coco_crisp	red_sox
trent_edwards	buffalo_bills
clay_buchholz	red_sox
aaron_ross	ny_giants
amani_toomer	ny_giants
pat_burrell	phillies
catcher_ivan_rodriguez	rangers
joe_crede	twins
dusty_baker	dodgers
jason_giambi	yankees
eric_cantona	clippers
travis_henry	broncos
mark_hendrickson	marlins
jean_sebastien_giguere	mighty_ducks_of_anaheim
joe_tinker	cubs
colt_mccoy	sun_devils
michael_redd	bucks_county_community_college
franklin_gutierrez	yankees
doug_mirabelli	new_england_patriots
ty_conklin	red_wings
juan_uribe	eagles__
kevin_brown	dodgers
kris_letang	penguins
zack_greinke	lady_royals
o_j__mayo	toronto_raptors
matt_cain	ny_giants
matt_murton	cubs
maurice_clarett	ohio_state_university
alexi_casilla	twins
ruslan_fedotenko	penguins
akinori_iwamura	tampa_bay_devil_rays
justin_verlander	columbus_blue_jackets
mats_sundin	vancouver_canucks
javon_walker	broncos
edwin_jackson	tampa
desean_jackson	eagles__
brad_penny	dodgers
carl_everett	red_sox
jose_theodore	canadiens
marty_turco	chicago_blackhawks
ilya_bryzgalov	atlanta_thrashers
david_clarkson	sun_devils
shane_battier	phoenix_coyotes
mickey_mantle	red_sox
jaromir_jagr	rangers
brian_rolston	sun_devils
jj_hardy	milwaukee_brewers
chris_pronger	philadelphia_flyers
chris_capuano	milwaukee_brewers
julius_jones	seahawks
chris_coste	phillies
ervin_santana	dodgers
marlon_byrd	rangers
brooks_orpik	penguins
jermaine_dye	red_sox
moises_alou	cubs
j_r__smith	nuggets
mike_sillinger	new_york_islanders
jiri_hudler	red_wings
jeff_suppan	milwaukee_brewers
michael_nylander	capitals
allan_houston	knicks
robert_lang	canadiens
lawrence_taylor	ny_giants
paul_pierce	celtics
shaun_livingston	chicago_blackhawks
brent_johnson	chicago_blackhawks
mike_napoli	anaheim_angels
javier_mascherano	red_sox
mike_mckenna	norfolk
tomas_rosicky	canadiens
arjen_robben	real_madrid
chipper_jones	atlanta_braves
ian_laperriere	rangers
filippo_inzaghi	ac_milan
xabi	liverpool
josh_bard	padres
steve_staios	oilers
brandon_webb	dallas_cowboys
cleon_jones	new_york_mets
brandon_marshall	broncos
barry_ferguson	ny_giants
dominic_moore	leafs
mike_piazza	new_york_mets
robinho	manchester_city
kenji_johjima	seattle_mariners
michael_ballack	germany
steve_mcnair	baltimore_ravens
glen_murray	sun_devils
tyler_kennedy	vols
kevin_bieksa	vancouver_canucks
john_barnes	liverpool
glen_davis	chicago_blackhawks
frank_lampard	atlanta_braves
jim_lonborg	red_sox
clint_dempsey	rockies
joe_dimaggio	yankees
david_moss	padres
henrik_zetterberg	rangers
matt_holliday	rockies
jon_lester	red_sox
brian_bannister	new_york_mets
brian_mccann	atlanta_braves
ed_jovanovski	phillies
ryan_giggs	manchester_united
mike_bibby	hawks
jose_reyes	new_york_mets
joe_rudi	bengals
andre_miller	philadelphia_flyers
rio_ferdinand	manchester_united
steven_gerrard	liverpool
ruud_van_nistelrooy	pirates
ryan_babel	liverpool
wayne_rooney	manchester_united
joe_girardi	yankees
peter_mueller	red_wings
dimitar_berbatov	manchester_united
steve_francis	houston_rockets
craig_anderson	chicago_blackhawks
james_harrison	dallas_mavericks
carlton_fisk	red_sox
joe_mauer	twins
steve_slaton	texans
ken_dryden	reds
sam_bradford	bengals
hideo_nomo	dodgers
brian_mcbride	chicago_fire
willy_taveras	rockies
chris_cooley	washington_redskins
kevin_garnett	celtics
james_loney	dodgers
jason_bartlett	tampa_bay_devil_rays
mike_schmidt	phillies
kevin_slowey	twins
matt_carroll	new_york_jets
marian_gaborik	chicago_blackhawks
andrew_brunette	knicks
david_booth	prairie_view_a___m_panthers
alex_auld	liverpool
david_garrard	jaguars
james_shields	tampa_bay_devil_rays
george_hill	phoenix_suns
bobby_ryan	penguins
ronaldinho	brazil
cristiano_ronaldo	man_united
jose_castillo	prairie_view_a___m_panthers
mark_sanchez	usc
jose_guillen	memphis_grizzlies
yunel_escobar	atlanta_braves
paul_mara	rangers
a_rod	cavs
denis_grebeshkov	oilers
hannu_toivonen	boston_bruins
brian_griese	chicago_bears
petr_sykora	penguins
bob_pettit	st___louis_hawks
howie_morenz	canadiens
jamal_mayers	chicago_blackhawks
joey_macdonald	lsu
jordin_tootoo	nashville_predators
seneca_wallace	seahawks
lavar_arrington	washington_redskins
peja_stojakovic	alabama_st_hornets
herschel_walker	dallas_cowboys
mattias_ohlund	vancouver_canucks
mason_raymond	vancouver_canucks
steve_downie	philadelphia_flyers
teppo_numminen	buffalo_sabres
joakim_noah	bulls
dwayne_roloson	oilers
michal_rozsival	rangers
steve_montador	chicago_blackhawks
nigel_dawes	rangers
rene_bourque	chicago_blackhawks
sergei_fedorov	capitals
marshall_faulk	rams
christopher_higgins	canadiens
joffrey_lupul	philadelphia_flyers
shawne_merriman	chargers
ricky_williams	new_orleans_saints
bill_romanowski	broncos
antero_niittymaki	philadelphia_flyers
cristobal_huet	chicago_blackhawks
john_curry	penguins
john_madden	sun_devils
mathieu_garon	oilers
sergei_kostitsyn	canadiens
clarke_macarthur	buffalo_sabres
evgeny_artyukhin	tampa
osi_umenyiora	ny_giants
reggie_white	green_bay_packers
olaf_kolzig	tampa
jakub_voracek	blue_jackets
marco_sturm	boston_bruins
wojtek_wolski	avs
cody_mcleod	avs
fedor_tyutin	rangers
lynn_swann	houston_astros
patrik_elias	sun_devils
fredrik_modin	rangers
loui_eriksson	dallas_stars
nnamdi_asomugha	oakland_raiders
troy_tulowitzki	tampa_bay_lightning
tracy_mcgrady	houston_rockets
cal_ripken_jr_	baltimore_orioles
evgeni_nabokov	san_jose_sharks
eric_moulds	buffalo_bills
robyn_regehr	flames
markus_naslund	vancouver_canucks
danny_briere	philadelphia_flyers
charles_barkley	houston_rockets
pascal_leclaire	columbus_blue_jackets
chris_drury	rangers
lamarr_woodley	pittsburgh_steelers
michael_ryder	boston_bruins
kari_lehtonen	thrashers
mark_recchi	tampa
michel_goulet	chicago_blackhawks
deion_branch	seahawks
jarret_stoll	kings_point_mariners
mark_parrish	new_york_islanders
ryan_whitney	penguins
wes_welker	new_england_patriots
matt_stajan	leafs
dustin_keller	new_york_jets
andrew_alberts	boston_bruins
tomas_kopecky	chicago_blackhawks
jocelyn_thibault	chicago_blackhawks
tom_kostopoulos	canadiens
curtis_sanford	vancouver_canucks
matthew_lombardi	flames
marcus_camby	kansas_city_chiefs
olli_jokinen	prairie_view_a___m_panthers
danny_granger	indiana_pacers
jochen_hecht	buffalo_sabres
michael_frolik	prairie_view_a___m_panthers
claude_lemieux	miami_heat
sun_yue	los_angeles_lakers
brian_leetch	rangers
michael_strahan	ny_giants
scottie_upshall	philadelphia_flyers
matt_cullen	miami_fl_hurricanes
deangelo_hall	oakland_raiders
johan_franzen	red_wings
liam_reddox	oilers
ville_peltonen	prairie_view_a___m_panthers
maxim_afinogenov	buffalo_sabres
jerod_mayo	new_england_patriots
tuomo_ruutu	miami_fl_hurricanes
jeremiah_trotter	eagles__
wendel_clark	leafs
mark_streit	new_york_islanders
clyde_drexler	houston_rockets
jamario_moon	toronto_raptors
colton_orr	rangers
sasha_vujacic	los_angeles_lakers
mike_cammalleri	kings_point_mariners
daymond_langkow	flames
nik_antropov	maple_leafs
scott_clemmensen	sun_devils
lamar_odom	los_angeles_lakers
vesa_toskala	leafs
guillaume_latendresse	canadiens
colt_brennan	washington_redskins
phil_kessel	boston_bruins
rob_niedermayer	mighty_ducks_of_anaheim
j_j__redick	magic
farmar	los_angeles_lakers
don_newcombe	los_angeles_lakers
dwight_howard	magic
artest	kings_point_mariners
brodie_croyle	kansas_city_chiefs
carl_landry	houston_rockets
clemens	yankees
brian_elliott	ottawa_senators
longoria	tampa_bay_devil_rays
turkoglu	magic
sabathia	milwaukee_brewers
bryan_mccabe	manchester_united
jerryd_bayless	trail_blazers
stafford	buffalo_sabres
brian_brohm	green_bay_packers
magic_johnson	los_angeles_lakers
darrell_green	washington_redskins
renteria	atlanta_braves
holliday	lsu
udonis_haslem	miami_heat
marko_jaric	minnesota_timberwolves
limas_sweed	pittsburgh_steelers
terry_glenn	dallas_cowboys
iverson	pistons
sprewell	knicks
halladay	blue_jays
darrent_williams	broncos
mehmet_okur	utah_jazz
plaxico	ny_giants
najeh_davenport	pittsburgh_steelers
pele	brazil
devin_brown	alabama_st_hornets
andray_blatche	washington_wizards
tex	anaheim_angels
takeo_spikes	buffalo_bills
david_beckham	la_galaxy
kelly_holcomb	buffalo_bills
ronaldo	manchester_united
alexei_ponikarovsky	maple_leafs
tedy_bruschi	new_england_patriots
tuukka_rask	boston_bruins
demarcus_ware	dallas_cowboys
jeremy	ny_giants
darius_miles	memphis_grizzlies
doug_williams	washington_redskins
greg_ellis	dallas_cowboys
rajon_rondo	celtics
lo_duca	dodgers
jorvorskie_lane	texas_a_m
zaun	baltimore_orioles
nene	nuggets
antawn_jamison	washington_wizards
hasselbeck	seahawks
bob_cousy	celtics
baldelli	red_sox
ron_hextall	philadelphia_flyers
mcgrady	houston_rockets
leigh_bodden	cleveland_browns
yi_jianlian	nets
chris_simms	tampa
bernie_kosar	cleveland_browns
joe_namath	new_york_jets
amare_stoudemire	phoenix_suns
beno_udrih	kings_point_mariners
fuentes	anaheim_angels
al_wilson	broncos
pau_gasol	los_angeles_lakers
thabo_sefolosha	bulls
darren_mccarty	red_wings
ted_thompson	green_bay_packers
boris_diaw	phoenix_suns
miroslav_klose	germany
zinedine_zidane	france
seimone_augustus	minnesota_lynx
mcnair	baltimore_ravens
tejada	houston_astros
gale_sayers	chicago_bears
rich_gannon	oakland_raiders
dirk_nowitzki	dallas_mavericks
linas_kleiza	nuggets
pelfrey	new_york_mets
maykel_galindo	chivas_usa
hansbrough	tar_heels
chris_duhon	bulls
kyle_boller	baltimore_ravens
lance_briggs	chicago_bears
losman	buffalo_bills
nate_clements	buffalo_bills
dikembe_mutombo	houston_rockets
tommy_maddox	pittsburgh_steelers
pujols	st___louis_cardinals
chamberlain	los_angeles_lakers
matsui	yankees
gretzky	kings_point_mariners
dye	red_sox
matt_harpring	utah_jazz
brees	chargers
sage_rosenfels	texans
cj_miles	utah_jazz
stephon_marbury	knicks
smith	chicago_bears
roethlisberger	pittsburgh_steelers
dwayne_wade	miami_heat
milledge	new_york_mets
marcin_gortat	magic
james_farrior	pittsburgh_steelers
junichi_tazawa	red_sox
kevin_durant	sonics
deron_williams	utah_jazz
pacman_jones	dallas_cowboys
ryan	falcons
jeff_teague	wake_forest
kwame_brown	los_angeles_lakers
marvin_williams	hawks
devan_downey	carolina
chris_webber	sixers
dwight_lowery	new_york_jets
patrick_kane_and_jonathan_toews	chicago_blackhawks
darcy_tucker	maple_leafs
vlade_divac	los_angeles_lakers
d_j__augustin	bobcats
jorge_garbajosa	toronto_raptors
derosa	cubs
halak	habs
devin_thomas	washington_redskins
lidge	houston_astros
tomlinson	chargers
beltran	new_york_mets
teixeira	yankees
zydrunas_ilgauskas	cavs
griffey	reds
schaub	texans
lundqvist	rangers
quarterback_brett_favre	new_york_jets
gasol	los_angeles_lakers
crisp	red_sox
varitek	red_sox
furcal	dodgers
courtney_lee	magic
